State,Aadhaar assigned as of 2019,Area (per sq km)
Delhi,21763471,1483
Haryana,28941133,44212
Kerala,36475649,38852
Himachal Pradesh,7560770,55673
Punjab,30355185,50362
Goa,1587012,3702
Telengana,39184011,112077
Uttarakhand,11082791,53483
Chandigarh,1131522,114
Lakshadweep,70374,30
Dadra & Nagar Haveli,373088,491
Gujarat,62097024,196244
Chhattisgarh,27414422,135192
Daman & Diu,210294,111
Andaman & Nicobar Islands,387019,8249
Tamil Nadu,72344821,130060
Maharashtra,114063427,307713
Karnataka,62462743,191791
Odisha,42825628,155707
West Bengal,91928327,88752
Puducherry,1286189,490
Andhra Pradesh,49145456,162970
Jharkhand,34607477,79716
Tripura,3672693,10486
Madhya Pradesh,74770270,308252
Mizoram,1089577,21081
Uttar Pradesh,203757489,240928
Rajasthan,68936999,342239
Sikkim,578914,7096
Bihar,102714667,94163
Manipur,2515724,22327
Arunachal Pradesh,1229964,83743
Jammu & Kashmir,10436172,222236
Ladakh,210156,59146
Nagaland,1262729,16579
Meghalaya,978281,22429
Assam,6755448,78438
